id,strength,name,tags
3cf8c746-8dc0-43fb-897b-e1fcc6faedc6,,"Thorgerson, Storm","surrealism,photography,colorful"
7e7f84ed-6963-4971-89a9-0d29085f30c3,,"Thorburn, Archibald","nature,watercolor,animals"
3136b2c0-2f97-4492-89ae-8233add6de04,,"Thomson, Tom","expressionism,art nouveau,impressionism,landscape"
8c42dc34-5b67-4e46-bae7-948c38d4eacb,3,"Thomas, Mickalene","melanin,colorful,collage,pop art"
ada3021d-eb51-4b36-9e63-b8e7698c7566,3,"Thoma, Hans","symbolism,realism,landscape,scene"
820647e9-9241-46f6-8526-7346548b4a4d,3,"Thole, Karel","surrealism,dark,sci-fi,horror"
10186376-00bc-4452-b2d3-771c15302e79,,"Thippeswamy, Kallesh",
36a151c9-79bb-453a-ad56-625dcc87c77c,,"Thieme, Anthony","impressionism,landscape,streetscape,seascape"
c342b345-6b5f-4794-8931-10e1a3ed7e11,,"Thiebaud, Wayne","pop art,figurativism"
ea3c9e2f-8652-4aaa-b0ec-0d83e9845fea,3,"Theurer, Heather","fantasy,romanticism,character"
56b10c9f-4304-40bd-b082-36fbe4697619,,theCHAMBA,"cartoon,character,anime,whimsical"
50b054ff-eab4-4ab8-acac-3f8892926aaa,,The Family Circus,"comics,cartoon"
5b56e8a7-b3d0-4f38-8e4d-957ec4fda25e,,"Thayer, Abbott Handerson","portrait,symbolism,romanticism,impressionism"
7a09ca97-38b0-466a-818f-bb7ace5fec08,,"Tezuka, Osamu","cartoon,anime"
4ac25f81-5f5c-4208-8fc5-49fc17f0c90e,,"Testino, Mario","fashion,photography"
8d3cb90c-7dfc-405c-8b47-d9a03cb78858,,"Teller, Juergen","photography,scene,nudity"
57d31f82-aaa3-49d1-a566-6abc984d3c43,,teamLab,"vibrant,colorful,installation,light"
995c698a-504f-4e65-9195-12270821e331,,"Tartakovsky, Genndy","cartoon,vibrant"
fd73d24d-689b-41c6-93d9-928dc08c3f44,,"Tanguy, Yves",surrealism
